READ SERR 1 2
@zpup_640_grp20_Martins_HeII1.pco
!
28.0000038 0.700000226 2.10906001E-4 3.35673365E-4 5.79262909E-4
26.6900024 0.610000491 2.42023176E-4 3.60584963E-4 4.0608985E-4
25.6250019 0.454999775 3.24471039E-4 4.20564815E-4 2.61162379E-4
25.0500031 0.120000042 1.23028492E-3 8.79026193E-4 8.37561267E-4
24.9050026 2.49998719E-2 6.49594003E-3 2.5149521E-3 6.07008254E-3
24.8650017 1.50003852E-2 1.03341322E-2 3.66329518E-3 1.16622355E-2
24.8375015 1.24997497E-2 1.24015249E-2 4.23973193E-3 1.75341628E-2
24.8150024 1.00000454E-2 1.55015253E-2 5.07528475E-3 2.33731158E-2
24.7900028 1.50001394E-2 9.84219182E-3 3.63993924E-3 2.96676047E-2
24.7675018 7.4993656E-3 2.46077888E-2 6.84017129E-3 3.37698236E-2
24.7475033 1.24998642E-2 1.35824988E-2 4.36417805E-3 3.52120958E-2
24.7200031 1.50000071E-2 1.03343921E-2 3.67231225E-3 3.34283225E-2
24.6950035 1.00003127E-2 1.62392594E-2 5.16274571E-3 2.79991683E-2
24.6750031 1.00002196E-2 1.47631001E-2 4.98207146E-3 2.2027893E-2
24.6550026 1.00000873E-2 1.47632957E-2 4.97623859E-3 1.60707571E-2
24.6225014 2.25006491E-2 6.88939914E-3 2.69757537E-3 8.31132568E-3
24.3500004 0.249999896 5.90537267E-4 5.80288295E-4 5.1494909E-4
23.880003 0.219998866 6.71068206E-4 6.22072606E-4 9.47883469E-4
23.4275017 0.232500866 6.34983648E-4 6.03954191E-4 5.87621587E-4
22.3625011 0.832500219 1.95958908E-3 3.48262722E-4 9.19471553E-4
21.5050011 2.49995552E-2 5.905475E-3 2.46858248E-3 2.39146478E-3
21.3675022 0.11250037 1.3123001E-3 9.11777955E-4 5.17570938E-4
21.1050014 0.14999935 9.8423264E-4 7.72208383E-4 6.73795585E-4
20.9050026 5.00000529E-2 3.24795023E-3 1.54537568E-3 6.82062609E-3
20.8325024 2.2500705E-2 7.2174482E-3 2.72948411E-3 6.60369499E-3
20.5975018 0.212499589 6.9475075E-4 6.32936019E-4 7.26242666E-4
20.1400032 0.244999722 6.02589455E-4 5.86768845E-4 3.87726846E-4
19.817503 7.75000975E-2 1.9049556E-3 1.14457274E-3 4.23965929E-3
19.6525021 8.75005201E-2 1.68723846E-3 1.06171868E-3 1.11692259E-3
19.4475021 0.117499545 1.25646649E-3 8.9140574E-4 1.45302364E-3
19.2500019 8.00002888E-2 1.8454215E-3 1.12712046E-3 1.92313723E-3
19.1000023 7.00003132E-2 2.21450371E-3 1.22815708E-3 2.49876338E-3
19.0150013 1.50000202E-2 1.1318611E-2 3.75384325E-3 6.12883316E-3
18.9900017 9.99974459E-3 1.55019928E-2 5.0901426E-3 9.01100319E-3
18.9650021 1.49999131E-2 1.57477446E-2 4.14039847E-3 1.22101139E-2
18.9425011 7.50028715E-3 2.46047657E-2 6.8341312E-3 1.37143899E-2
18.9275017 7.49960821E-3 2.46069934E-2 6.83640083E-3 1.32146068E-2
18.9125023 7.49976328E-3 2.75592618E-2 7.09568243E-3 1.18236095E-2
18.8950024 1.00003518E-2 1.55010503E-2 5.07255038E-3 9.55260638E-3
18.8750019 9.99974553E-3 1.99311301E-2 5.50831528E-3 7.04306969E-3
18.8425026 2.25002877E-2 6.56143809E-3 2.65001389E-3 4.414286E-3
18.7450008 7.49999136E-2 1.96845899E-3 1.17287389E-3 2.21237261E-3
18.6300011 3.99999954E-2 3.69085651E-3 1.76595384E-3 2.6773375E-3
18.567503 2.24996582E-2 7.21778395E-3 2.72792275E-3 3.00910068E-3
18.4975014 4.75003347E-2 3.10806744E-3 1.57150649E-3 1.79057382E-3
18.3650017 8.50003436E-2 1.73686643E-3 1.08235865E-3 9.86058265E-4
18.1775017 0.102499858 1.44033611E-3 9.65426734E-4 1.01538666E-3
17.9875011 8.74996483E-2 1.68725522E-3 1.06597994E-3 1.04246056E-3
17.8225021 7.75005147E-2 1.90494535E-3 1.14598183E-3 1.42219767E-3
17.6975002 4.74998914E-2 3.10809654E-3 1.57426449E-3 2.16554455E-3
17.6050014 4.49999012E-2 3.44480667E-3 1.6518893E-3 3.25187994E-3
17.5300007 3.00000627E-2 5.16718766E-3 2.1855603E-3 2.46020057E-3
17.4625015 3.75002101E-2 3.93689144E-3 1.83731201E-3 1.9752637E-3
17.3825016 4.2499885E-2 3.6474443E-3 1.70239282E-3 2.39875773E-3
17.2875023 5.24994396E-2 2.81211105E-3 1.47351401E-3 1.99265964E-3
17.1950016 4.00002897E-2 3.87537107E-3 1.76961336E-3 5.03407186E-3
17.1425018 1.24999154E-2 1.2401361E-2 4.24459344E-3 1.92966536E-2
17.1175022 1.25001073E-2 1.59443617E-2 4.58094338E-3 3.85309123E-2
17.0975018 7.50025781E-3 2.65732519E-2 7.02638505E-3 5.89818545E-2
17.0825024 7.49972882E-3 2.65751258E-2 7.02476362E-3 7.46614635E-2
17.0675011 7.49986805E-3 2.8543124E-2 7.19531579E-3 8.76546353E-2
17.0550022 5.00051538E-3 3.09999976E-2 9.03751422E-3 9.47538838E-2
17.045002 4.99954168E-3 4.57708128E-2 1.05050756E-2 9.70016941E-2
17.0350018 4.99995518E-3 3.98616046E-2 9.96717066E-3 9.59670171E-2
17.0250015 5.00035705E-3 3.83821651E-2 9.8192282E-3 9.17185694E-2
17.0175018 2.49971659E-3 6.20134138E-2 1.6724987E-2 8.6780034E-2
